store_id,total_sales,unique_customers,product_diversity,fuel_transactions,total_transactions,fuel_share,chain_size,store_name,store_chain_id,store_chain_name,street_address,city,zip_code,latitude,longitude,log_customers,log_sales,log_products,log_chain_size,cluster,subcategory,purchase_count
14335,13.38,1,2,1,1,1,15,New B D Mart,7036,janu corp,1180 Atwood Ave,Johnston,02919,41.8054228,-71.4909476,0.6931471805599453,2.6658383522929006,1.0986122886681098,2.772588722239781,1,Premium/Super Premium,14
14346,13,1,1,1,1,1,1,SOUTHFIELD GRANT - AMOCO,7038,SOUTHFIELD GRANT INC.,804 Southfield Rd,Lincoln Park,48146,42.247668,-83.1671822,0.6931471805599453,2.6390573296152584,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14348,2839.9,3,75,3,131,0.022900763358778626,4,Morehead Shell,7039,Midway Food Mart Inc,135 HWY 519,Morehead,40351,38.1689466,-83.4387378,1.3862943611198906,7.951876182361057,4.330733340286331,1.6094379124341003,2,Premium/Super Premium,317
14352,437.468276,5,4,10,11,0.9090909090909091,1,ADMIRAL #181,7041,"WTC DEVELOPMENTS, INC.",1100 W Grand River Ave,Williamston,48895,42.6883157,-84.2993613,1.791759469228055,6.083287462558833,1.6094379124341003,0.6931471805599453,2,Premium/Super Premium,317
14365,177.090394,3,1,4,4,1,6,52 station 2,7046,52 station,2700 S Williamsburg County Hwy,Greeleyville,29056,33.5812114,-79.9421358,1.3862943611198906,5.182291252850002,0.6931471805599453,1.9459101490553132,1,Premium/Super Premium,14
14371,0.7,1,1,0,1,0,1,Elsinore Car Wash and Gas,7050,Elsinore Car Wash and Gas,200 W Graham Ave,Lake Elsinore,92530,33.6682959,-117.3294195,0.6931471805599453,0.5306282510621704,0.6931471805599453,0.6931471805599453,4,Cigars,45
14378,47.88,1,1,0,1,0,8,Emmett Chevron,7027,"Intermountain Food Stores, Inc.",1580 S Washington Ave,Emmett,83617,43.8617343,-116.4995763,0.6931471805599453,3.88936831486334,0.6931471805599453,2.1972245773362196,4,Cigars,45
14379,26.01,2,9,0,2,0,8,Harpo's,7027,"Intermountain Food Stores, Inc.",823 S Main St,Cascade,83611,44.510872,-116.0374062,1.0986122886681098,3.2962071678045244,2.302585092994046,2.1972245773362196,4,Cigars,45
14380,43.551875,1,1,1,1,1,8,M&W Express,7027,"Intermountain Food Stores, Inc.",101 Thunderegg Blvd,Nyssa,97913,43.8779109,-117.0024946,0.6931471805599453,3.79665424057325,0.6931471805599453,2.1972245773362196,1,Premium/Super Premium,14
14382,15.98,1,2,1,1,1,8,Old Town,7027,"Intermountain Food Stores, Inc.",507 N 3rd St,McCall,83638,44.9066358,-116.0972623,0.6931471805599453,2.8320361808832013,1.0986122886681098,2.1972245773362196,1,Premium/Super Premium,14
