distance_from_home,median_dwell,raw_visitor_counts
5,1,6.394297429690452
5,1.1,6.357403200525676
5,1.2,6.3205089713609
5,1.3,6.283614742196124
5,1.4,6.246720513031348
5,1.5,6.2098262838665725
5,1.6,6.172932054701796
5,1.7000000000000002,6.136037825537021
5,1.8,6.099143596372245
5,1.9,6.062249367207468
5,2,6.025355138042693
5,2.1,5.988460908877917
5,2.2,5.951566679713141
5,2.3,5.914672450548365
5,2.4000000000000004,5.877778221383589
5,2.5,5.840883992218814
5,2.6,5.803989763054037
5,2.7,5.767095533889261
5,2.8,5.730201304724486
5,2.9000000000000004,5.6933070755597095
5,3,5.656412846394934
5,3.1,5.619518617230158
5,3.2,5.582624388065382
5,3.3000000000000003,5.545730158900606
5,3.4000000000000004,5.50883592973583
5,3.5,5.471941700571055
5,3.6,5.435047471406278
5,3.7,5.398153242241502
5,3.8000000000000003,5.361259013076727
5,3.9000000000000004,5.324364783911951
5,4,5.287470554747175
5,4.1,5.250576325582399
5,4.2,5.213682096417623
5,4.300000000000001,5.1767878672528465
5,4.4,5.139893638088071
5,4.5,5.102999408923295
5,4.6,5.0661051797585195
5,4.7,5.029210950593743
5,4.800000000000001,4.992316721428967
5,4.9,4.955422492264192
5,5,4.918528263099415
5,5.1000000000000005,4.88163403393464
5,5.2,4.844739804769864
5,5.3,4.807845575605088
5,5.4,4.770951346440312
5,5.5,4.734057117275536
5,5.6000000000000005,4.69716288811076
5,5.7,4.660268658945984
5,5.800000000000001,4.623374429781208
5,5.9,4.586480200616433
5,6,4.549585971451656
5,6.1000000000000005,4.51269174228688
5,6.2,4.475797513122105
5,6.300000000000001,4.438903283957329
5,6.4,4.402009054792553
5,6.5,4.365114825627777
5,6.6000000000000005,4.328220596463001
5,6.7,4.291326367298225
5,6.800000000000001,4.254432138133449
5,6.9,4.217537908968674
5,7,4.1806436798038975
5.1,1,6.36672918586474
5.1,1.1,6.329834956699964
5.1,1.2,6.292940727535188
5.1,1.3,6.256046498370412
5.1,1.4,6.219152269205636
5.1,1.5,6.18225804004086
5.1,1.6,6.145363810876084
5.1,1.7000000000000002,6.108469581711309
5.1,1.8,6.071575352546533
5.1,1.9,6.034681123381756
5.1,2,5.997786894216981
5.1,2.1,5.960892665052205
5.1,2.2,5.9239984358874285
5.1,2.3,5.887104206722653
5.1,2.4000000000000004,5.850209977557877
5.1,2.5,5.8133157483931015
5.1,2.6,5.776421519228325
5.1,2.7,5.739527290063549
5.1,2.8,5.702633060898774
5.1,2.9000000000000004,5.665738831733997
5.1,3,5.628844602569222
5.1,3.1,5.591950373404446
5.1,3.2,5.5550561442396695
5.1,3.3000000000000003,5.518161915074894
5.1,3.4000000000000004,5.481267685910118
5.1,3.5,5.444373456745343
5.1,3.6,5.407479227580566
5.1,3.7,5.37058499841579
5.1,3.8000000000000003,5.333690769251015
5.1,3.9000000000000004,5.2967965400862385
5.1,4,5.259902310921463
5.1,4.1,5.223008081756687
5.1,4.2,5.186113852591911
5.1,4.300000000000001,5.149219623427134
5.1,4.4,5.112325394262359
5.1,4.5,5.075431165097583
5.1,4.6,5.038536935932807
5.1,4.7,5.001642706768031
5.1,4.800000000000001,4.964748477603255
5.1,4.9,4.9278542484384795
5.1,5,4.890960019273703
5.1,5.1000000000000005,4.854065790108928
5.1,5.2,4.817171560944152
5.1,5.3,4.780277331779376
5.1,5.4,4.7433831026146
5.1,5.5,4.706488873449824
5.1,5.6000000000000005,4.669594644285048
5.1,5.7,4.632700415120272
5.1,5.800000000000001,4.595806185955496
5.1,5.9,4.558911956790721
5.1,6,4.522017727625944
5.1,6.1000000000000005,4.485123498461168
5.1,6.2,4.448229269296393
5.1,6.300000000000001,4.4113350401316165
5.1,6.4,4.374440810966841
5.1,6.5,4.337546581802065
5.1,6.6000000000000005,4.300652352637289
5.1,6.7,4.263758123472513
5.1,6.800000000000001,4.226863894307737
5.1,6.9,4.189969665142962
5.1,7,4.153075435978185
5.2,1,6.339160942039028
5.2,1.1,6.3022667128742516
5.2,1.2,6.265372483709476
5.2,1.3,6.2284782545447
5.2,1.4,6.191584025379924
5.2,1.5,6.154689796215148
5.2,1.6,6.117795567050372
5.2,1.7000000000000002,6.080901337885597
5.2,1.8,6.0440071087208205
5.2,1.9,6.007112879556044
5.2,2,5.970218650391269
5.2,2.1,5.933324421226493
5.2,2.2,5.896430192061716
5.2,2.3,5.859535962896941
5.2,2.4000000000000004,5.822641733732165
5.2,2.5,5.785747504567389
5.2,2.6,5.748853275402613
5.2,2.7,5.711959046237837
5.2,2.8,5.6750648170730615
5.2,2.9000000000000004,5.638170587908285
5.2,3,5.60127635874351
5.2,3.1,5.564382129578734
5.2,3.2,5.527487900413957
5.2,3.3000000000000003,5.490593671249182
5.2,3.4000000000000004,5.453699442084406
5.2,3.5,5.4168052129196305
5.2,3.6,5.379910983754854
5.2,3.7,5.343016754590078
5.2,3.8000000000000003,5.306122525425303
5.2,3.9000000000000004,5.269228296260526
5.2,4,5.232334067095751
5.2,4.1,5.195439837930975
5.2,4.2,5.1585456087661985
5.2,4.300000000000001,5.121651379601422
5.2,4.4,5.084757150436647
5.2,4.5,5.047862921271871
5.2,4.6,5.010968692107095
5.2,4.7,4.974074462942319
5.2,4.800000000000001,4.937180233777543
5.2,4.9,4.900286004612767
5.2,5,4.863391775447991
5.2,5.1000000000000005,4.826497546283216
5.2,5.2,4.78960331711844
5.2,5.3,4.752709087953664
5.2,5.4,4.715814858788888
5.2,5.5,4.678920629624112
5.2,5.6000000000000005,4.6420264004593355
5.2,5.7,4.60513217129456
5.2,5.800000000000001,4.568237942129784
5.2,5.9,4.5313437129650085
5.2,6,4.494449483800232
5.2,6.1000000000000005,4.457555254635456
5.2,6.2,4.420661025470681
5.2,6.300000000000001,4.383766796305904
5.2,6.4,4.346872567141129
5.2,6.5,4.309978337976353
5.2,6.6000000000000005,4.2730841088115765
5.2,6.7,4.236189879646801
5.2,6.800000000000001,4.199295650482025
5.2,6.9,4.1624014213172496
5.2,7,4.125507192152473
5.3,1,6.311592698213317
5.3,1.1,6.27469846904854
5.3,1.2,6.237804239883765
5.3,1.3,6.200910010718989
5.3,1.4,6.1640157815542125
5.3,1.5,6.127121552389437
5.3,1.6,6.090227323224661
5.3,1.7000000000000002,6.0533330940598855
5.3,1.8,6.016438864895109
5.3,1.9,5.979544635730333
5.3,2,5.942650406565558
5.3,2.1,5.905756177400781
5.3,2.2,5.868861948236005
5.3,2.3,5.83196771907123
5.3,2.4000000000000004,5.7950734899064535
5.3,2.5,5.758179260741678
5.3,2.6,5.721285031576902
5.3,2.7,5.684390802412126
5.3,2.8,5.64749657324735
5.3,2.9000000000000004,5.610602344082574
5.3,3,5.573708114917799
5.3,3.1,5.5368138857530225
5.3,3.2,5.499919656588246
5.3,3.3000000000000003,5.463025427423471
5.3,3.4000000000000004,5.426131198258695
5.3,3.5,5.389236969093919
5.3,3.6,5.352342739929143
5.3,3.7,5.315448510764367
5.3,3.8000000000000003,5.278554281599591
5.3,3.9000000000000004,5.241660052434815
5.3,4,5.204765823270039
5.3,4.1,5.1678715941052635
5.3,4.2,5.130977364940487
5.3,4.300000000000001,5.094083135775711
5.3,4.4,5.057188906610936
5.3,4.5,5.020294677446159
5.3,4.6,4.983400448281384
5.3,4.7,4.946506219116608
5.3,4.800000000000001,4.909611989951832
5.3,4.9,4.872717760787056
5.3,5,4.83582353162228
5.3,5.1000000000000005,4.798929302457505
5.3,5.2,4.762035073292728
5.3,5.3,4.725140844127953
5.3,5.4,4.688246614963177
5.3,5.5,4.6513523857984005
5.3,5.6000000000000005,4.614458156633624
5.3,5.7,4.577563927468849
5.3,5.800000000000001,4.540669698304073
5.3,5.9,4.503775469139297
5.3,6,4.466881239974521
5.3,6.1000000000000005,4.429987010809745
5.3,6.2,4.393092781644969
5.3,6.300000000000001,4.356198552480193
5.3,6.4,4.319304323315418
5.3,6.5,4.2824100941506416
5.3,6.6000000000000005,4.245515864985865
5.3,6.7,4.20862163582109
5.3,6.800000000000001,4.171727406656314
5.3,6.9,4.134833177491538
5.3,7,4.097938948326762
5.4,1,6.2840244543876045
5.4,1.1,6.247130225222828
5.4,1.2,6.210235996058053
5.4,1.3,6.173341766893277
5.4,1.4,6.1364475377285
5.4,1.5,6.099553308563725
5.4,1.6,6.062659079398949
5.4,1.7000000000000002,6.025764850234173
5.4,1.8,5.988870621069397
5.4,1.9,5.951976391904621
5.4,2,5.9150821627398456
5.4,2.1,5.878187933575069
5.4,2.2,5.841293704410293
5.4,2.3,5.804399475245518
5.4,2.4000000000000004,5.7675052460807414
5.4,2.5,5.730611016915966
5.4,2.6,5.69371678775119
5.4,2.7,5.656822558586414
5.4,2.8,5.619928329421638
5.4,2.9000000000000004,5.583034100256862
5.4,3,5.546139871092087
5.4,3.1,5.50924564192731
5.4,3.2,5.472351412762534
5.4,3.3000000000000003,5.435457183597759
5.4,3.4000000000000004,5.3985629544329825
5.4,3.5,5.361668725268207
5.4,3.6,5.324774496103431
5.4,3.7,5.287880266938655
5.4,3.8000000000000003,5.250986037773879
5.4,3.9000000000000004,5.214091808609103
5.4,4,5.177197579444327
5.4,4.1,5.140303350279551
5.4,4.2,5.103409121114775
5.4,4.300000000000001,5.066514891949999
5.4,4.4,5.029620662785224
5.4,4.5,4.992726433620447
5.4,4.6,4.955832204455672
5.4,4.7,4.918937975290896
5.4,4.800000000000001,4.8820437461261195
5.4,4.9,4.845149516961344
5.4,5,4.808255287796568
5.4,5.1000000000000005,4.7713610586317925
5.4,5.2,4.734466829467016
5.4,5.3,4.697572600302241
5.4,5.4,4.660678371137465
5.4,5.5,4.623784141972688
5.4,5.6000000000000005,4.586889912807912
5.4,5.7,4.549995683643137
5.4,5.800000000000001,4.5131014544783605
5.4,5.9,4.476207225313585
5.4,6,4.439312996148809
5.4,6.1000000000000005,4.402418766984033
5.4,6.2,4.365524537819257
5.4,6.300000000000001,4.328630308654481
5.4,6.4,4.291736079489706
5.4,6.5,4.2548418503249295
5.4,6.6000000000000005,4.217947621160153
5.4,6.7,4.181053391995378
5.4,6.800000000000001,4.144159162830602
5.4,6.9,4.107264933665826
5.4,7,4.07037070450105
5.5,1,6.256456210561892
5.5,1.1,6.219561981397116
5.5,1.2,6.182667752232341
5.5,1.3,6.1457735230675645
5.5,1.4,6.108879293902788
5.5,1.5,6.071985064738013
5.5,1.6,6.035090835573237
5.5,1.7000000000000002,5.998196606408461
5.5,1.8,5.961302377243685
5.5,1.9,5.924408148078909
5.5,2,5.8875139189141334
5.5,2.1,5.850619689749357
5.5,2.2,5.813725460584581
5.5,2.3,5.776831231419806
5.5,2.4000000000000004,5.739937002255029
5.5,2.5,5.703042773090254
5.5,2.6,5.666148543925478
5.5,2.7,5.6292543147607015
5.5,2.8,5.592360085595926
5.5,2.9000000000000004,5.55546585643115
5.5,3,5.5185716272663745
5.5,3.1,5.481677398101598
5.5,3.2,5.444783168936822
5.5,3.3000000000000003,5.407888939772047
5.5,3.4000000000000004,5.37099471060727
5.5,3.5,5.334100481442495
5.5,3.6,5.297206252277719
5.5,3.7,5.2603120231129425
5.5,3.8000000000000003,5.223417793948167
5.5,3.9000000000000004,5.186523564783391
5.5,4,5.149629335618615
5.5,4.1,5.112735106453839
5.5,4.2,5.075840877289063
5.5,4.300000000000001,5.038946648124287
5.5,4.4,5.0020524189595115
5.5,4.5,4.965158189794735
5.5,4.6,4.92826396062996
5.5,4.7,4.891369731465184
5.5,4.800000000000001,4.854475502300407
5.5,4.9,4.817581273135632
5.5,5,4.780687043970856
5.5,5.1000000000000005,4.74379281480608
5.5,5.2,4.706898585641304
5.5,5.3,4.670004356476529
5.5,5.4,4.6331101273117525
5.5,5.5,4.596215898146976
5.5,5.6000000000000005,4.5593216689822
5.5,5.7,4.522427439817425
5.5,5.800000000000001,4.485533210652648
5.5,5.9,4.448638981487873
5.5,6,4.411744752323097
5.5,6.1000000000000005,4.374850523158321
5.5,6.2,4.337956293993545
5.5,6.300000000000001,4.301062064828769
5.5,6.4,4.264167835663994
5.5,6.5,4.227273606499217
5.5,6.6000000000000005,4.190379377334441
5.5,6.7,4.153485148169666
5.5,6.800000000000001,4.1165909190048895
5.5,6.9,4.079696689840114
5.5,7,4.042802460675338
5.6,1,6.22888796673618
5.6,1.1,6.191993737571404
5.6,1.2,6.155099508406629
5.6,1.3,6.118205279241852
5.6,1.4,6.081311050077076
5.6,1.5,6.044416820912301
5.6,1.6,6.007522591747525
5.6,1.7000000000000002,5.970628362582749
5.6,1.8,5.933734133417973
5.6,1.9,5.896839904253197
5.6,2,5.859945675088421
5.6,2.1,5.823051445923645
5.6,2.2,5.786157216758869
5.6,2.3,5.7492629875940935
5.6,2.4000000000000004,5.712368758429317
5.6,2.5,5.675474529264542
5.6,2.6,5.638580300099766
5.6,2.7,5.601686070934989
5.6,2.8,5.564791841770214
5.6,2.9000000000000004,5.527897612605438
5.6,3,5.491003383440662
5.6,3.1,5.454109154275886
5.6,3.2,5.41721492511111
5.6,3.3000000000000003,5.3803206959463346
5.6,3.4000000000000004,5.343426466781558
5.6,3.5,5.306532237616783
5.6,3.6,5.269638008452007
5.6,3.7,5.2327437792872304
5.6,3.8000000000000003,5.195849550122455
5.6,3.9000000000000004,5.158955320957679
5.6,4,5.122061091792903
5.6,4.1,5.085166862628127
5.6,4.2,5.048272633463351
5.6,4.300000000000001,5.011378404298575
5.6,4.4,4.974484175133799
5.6,4.5,4.937589945969023
5.6,4.6,4.900695716804248
5.6,4.7,4.8638014876394715
5.6,4.800000000000001,4.826907258474695
5.6,4.9,4.79001302930992
5.6,5,4.753118800145144
5.6,5.1000000000000005,4.716224570980368
5.6,5.2,4.679330341815592
5.6,5.3,4.642436112650817
5.6,5.4,4.60554188348604
5.6,5.5,4.568647654321264
5.6,5.6000000000000005,4.531753425156488
5.6,5.7,4.494859195991713
5.6,5.800000000000001,4.457964966826936
5.6,5.9,4.421070737662161
5.6,6,4.384176508497385
5.6,6.1000000000000005,4.3472822793326085
5.6,6.2,4.310388050167833
5.6,6.300000000000001,4.273493821003057
5.6,6.4,4.2365995918382815
5.6,6.5,4.199705362673505
5.6,6.6000000000000005,4.162811133508729
5.6,6.7,4.125916904343954
5.6,6.800000000000001,4.089022675179177
5.6,6.9,4.052128446014402
5.6,7,4.015234216849626
5.7,1,6.201319722910468
5.7,1.1,6.164425493745692
5.7,1.2,6.127531264580917
5.7,1.3,6.09063703541614
5.7,1.4,6.053742806251364
5.7,1.5,6.016848577086589
5.7,1.6,5.9799543479218125
5.7,1.7000000000000002,5.943060118757037
5.7,1.8,5.906165889592261
5.7,1.9,5.869271660427485
5.7,2,5.832377431262709
5.7,2.1,5.795483202097933
5.7,2.2,5.758588972933157
5.7,2.3,5.721694743768381
5.7,2.4000000000000004,5.684800514603605
5.7,2.5,5.64790628543883
5.7,2.6,5.6110120562740535
5.7,2.7,5.574117827109277
5.7,2.8,5.537223597944502
5.7,2.9000000000000004,5.500329368779726
5.7,3,5.46343513961495
5.7,3.1,5.426540910450174
5.7,3.2,5.389646681285398
5.7,3.3000000000000003,5.3527524521206225
5.7,3.4000000000000004,5.315858222955846
5.7,3.5,5.278963993791071
5.7,3.6,5.242069764626295
5.7,3.7,5.205175535461518
5.7,3.8000000000000003,5.168281306296743
5.7,3.9000000000000004,5.131387077131967
5.7,4,5.0944928479671905
5.7,4.1,5.057598618802415
5.7,4.2,5.020704389637639
5.7,4.300000000000001,4.983810160472863
5.7,4.4,4.946915931308087
5.7,4.5,4.910021702143311
5.7,4.6,4.873127472978536
5.7,4.7,4.836233243813759
5.7,4.800000000000001,4.799339014648983
5.7,4.9,4.762444785484208
5.7,5,4.7255505563194315
5.7,5.1000000000000005,4.688656327154656
5.7,5.2,4.65176209798988
5.7,5.3,4.614867868825105
5.7,5.4,4.577973639660328
5.7,5.5,4.541079410495552
5.7,5.6000000000000005,4.504185181330776
5.7,5.7,4.4672909521660005
5.7,5.800000000000001,4.430396723001224
5.7,5.9,4.393502493836449
5.7,6,4.356608264671673
5.7,6.1000000000000005,4.319714035506896
5.7,6.2,4.282819806342121
5.7,6.300000000000001,4.245925577177345
5.7,6.4,4.209031348012569
5.7,6.5,4.172137118847793
5.7,6.6000000000000005,4.135242889683017
5.7,6.7,4.0983486605182415
5.7,6.800000000000001,4.061454431353465
5.7,6.9,4.02456020218869
5.7,7,3.9876659730239137
5.8,1,6.173751479084757
5.8,1.1,6.136857249919981
5.8,1.2,6.099963020755205
5.8,1.3,6.063068791590429
5.8,1.4,6.026174562425653
5.8,1.5,5.9892803332608775
5.8,1.6,5.952386104096101
5.8,1.7000000000000002,5.915491874931326
5.8,1.8,5.87859764576655
5.8,1.9,5.841703416601773
5.8,2,5.804809187436998
5.8,2.1,5.767914958272222
5.8,2.2,5.7310207291074455
5.8,2.3,5.69412649994267
5.8,2.4000000000000004,5.657232270777894
5.8,2.5,5.620338041613119
5.8,2.6,5.583443812448342
5.8,2.7,5.546549583283566
5.8,2.8,5.509655354118791
5.8,2.9000000000000004,5.4727611249540145
5.8,3,5.435866895789239
5.8,3.1,5.398972666624463
5.8,3.2,5.362078437459687
5.8,3.3000000000000003,5.325184208294911
5.8,3.4000000000000004,5.288289979130135
5.8,3.5,5.25139574996536
5.8,3.6,5.214501520800583
5.8,3.7,5.177607291635807
5.8,3.8000000000000003,5.140713062471032
5.8,3.9000000000000004,5.1038188333062555
5.8,4,5.06692460414148
5.8,4.1,5.030030374976704
5.8,4.2,4.993136145811928
5.8,4.300000000000001,4.956241916647151
5.8,4.4,4.919347687482376
5.8,4.5,4.8824534583176
5.8,4.6,4.8455592291528244
5.8,4.7,4.808664999988048
5.8,4.800000000000001,4.771770770823272
5.8,4.9,4.734876541658497
5.8,5,4.69798231249372
5.8,5.1000000000000005,4.661088083328945
5.8,5.2,4.624193854164169
5.8,5.3,4.587299624999393
5.8,5.4,4.550405395834617
5.8,5.5,4.513511166669841
5.8,5.6000000000000005,4.476616937505065
5.8,5.7,4.439722708340289
5.8,5.800000000000001,4.402828479175513
5.8,5.9,4.365934250010738
5.8,6,4.329040020845961
5.8,6.1000000000000005,4.292145791681185
5.8,6.2,4.25525156251641
5.8,6.300000000000001,4.2183573333516335
5.8,6.4,4.181463104186858
5.8,6.5,4.144568875022082
5.8,6.6000000000000005,4.107674645857306
5.8,6.7,4.07078041669253
5.8,6.800000000000001,4.033886187527754
5.8,6.9,3.9969919583629783
5.8,7,3.9600977291982025
5.9,1,6.146183235259045
5.9,1.1,6.109289006094269
5.9,1.2,6.072394776929493
5.9,1.3,6.035500547764717
5.9,1.4,5.998606318599941
5.9,1.5,5.961712089435165
5.9,1.6,5.924817860270389
5.9,1.7000000000000002,5.887923631105614
5.9,1.8,5.8510294019408375
5.9,1.9,5.814135172776061
5.9,2,5.777240943611286
5.9,2.1,5.74034671444651
5.9,2.2,5.703452485281733
5.9,2.3,5.666558256116958
5.9,2.4000000000000004,5.629664026952182
5.9,2.5,5.5927697977874065
5.9,2.6,5.55587556862263
5.9,2.7,5.518981339457854
5.9,2.8,5.482087110293079
5.9,2.9000000000000004,5.445192881128302
5.9,3,5.408298651963527
5.9,3.1,5.371404422798751
5.9,3.2,5.3345101936339745
5.9,3.3000000000000003,5.297615964469199
5.9,3.4000000000000004,5.260721735304423
5.9,3.5,5.2238275061396475
5.9,3.6,5.186933276974871
5.9,3.7,5.150039047810095
5.9,3.8000000000000003,5.11314481864532
5.9,3.9000000000000004,5.076250589480543
5.9,4,5.039356360315768
5.9,4.1,5.002462131150992
5.9,4.2,4.965567901986216
5.9,4.300000000000001,4.928673672821439
5.9,4.4,4.891779443656664
5.9,4.5,4.854885214491888
5.9,4.6,4.817990985327112
5.9,4.7,4.781096756162336
5.9,4.800000000000001,4.74420252699756
5.9,4.9,4.7073082978327845
5.9,5,4.670414068668008
5.9,5.1000000000000005,4.633519839503233
5.9,5.2,4.596625610338457
5.9,5.3,4.559731381173681
5.9,5.4,4.522837152008905
5.9,5.5,4.485942922844129
5.9,5.6000000000000005,4.4490486936793525
5.9,5.7,4.412154464514577
5.9,5.800000000000001,4.375260235349801
5.9,5.9,4.3383660061850255
