rent,hhincome,foodstmp,state_fip,county_fip,pernum
0,20000,1,04,04001,221
0,9999999,0,04,04001,222
0,0,0,04,04001,223
0,36200,1,04,04001,224
0,9999999,0,04,04001,225
290,0,0,04,04001,226
0,14400,0,04,04001,227
0,9999999,0,04,04001,228
300,122000,0,04,04001,229
0,97100,0,04,04001,230
440,180000,1,04,04001,231
0,9999999,0,04,04001,232
0,9999999,0,04,04001,233
0,9999999,0,04,04001,234
0,99200,1,04,04001,235
0,9000,0,04,04001,236
0,13900,0,04,04001,237
0,21200,1,04,04001,238
0,147200,1,04,04001,239
0,85000,0,04,04001,240
0,9999999,0,04,04001,241
0,65000,1,04,04001,242
0,9999999,0,04,04001,243
0,9999999,0,04,04001,244
0,44500,0,04,04001,245
0,1400,0,04,04001,246
0,0,0,04,04001,247
0,55400,0,04,04001,248
0,9999999,0,04,04001,249
0,1000,1,04,04001,250
0,82000,0,04,04001,251
0,36000,0,04,04001,252
0,9999999,0,04,04001,253
0,66900,0,04,04001,254
0,84250,0,04,04001,255
0,9999999,0,04,04001,256
0,12000,0,04,04001,257
0,9999999,0,04,04001,258
0,9999999,0,04,04001,259
0,9999999,0,04,04001,260
0,9999999,0,04,04001,261
0,80000,0,04,04001,262
0,27300,0,04,04001,263
0,9999999,0,04,04001,264
0,9999999,0,04,04001,265
0,9999999,0,04,04001,266
0,9999999,0,04,04001,267
0,9999999,0,04,04001,268
0,9999999,0,04,04001,269
0,45400,1,04,04001,270
0,50200,0,04,04001,271
0,9999999,0,04,04001,272
0,9999999,0,04,04001,273
0,9999999,0,04,04001,274
0,26700,0,04,04001,275
0,33600,1,04,04001,276
0,9999999,0,04,04001,277
0,45800,0,04,04001,278
0,20300,1,04,04001,279
0,9999999,0,04,04001,280
0,0,1,04,04001,281
0,139700,0,04,04001,282
0,179000,0,04,04001,283
0,100300,0,04,04001,284
0,55000,1,04,04001,285
1500,82000,0,04,04001,286
0,9999999,0,04,04001,287
0,10200,1,04,04001,288
0,9999999,1,04,04001,289
0,52000,0,04,04001,290
0,9999999,0,04,04001,291
0,111100,0,04,04001,292
0,9999999,0,04,04001,293
0,9999999,0,04,04001,294
0,9999999,0,04,04001,295
0,18100,0,04,04001,296
0,9999999,0,04,04001,297
0,15600,0,04,04001,298
0,9999999,0,04,04001,299
0,52000,0,04,04001,300
0,49000,0,04,04001,301
1000,117700,0,04,04001,302
0,9999999,0,04,04001,303
0,9999999,0,04,04001,304
0,9999999,0,04,04001,305
0,9999999,0,04,04001,306
0,33500,0,04,04001,307
0,30000,0,04,04001,308
0,9999999,0,04,04001,309
0,48000,0,04,04001,310
0,9999999,0,04,04001,311
0,10000,1,04,04001,312
0,9999999,0,04,04001,313
0,9999999,0,04,04001,314
0,60700,0,04,04001,315
0,28400,0,04,04001,316
0,4800,1,04,04001,317
0,9999999,0,04,04001,318
0,9999999,0,04,04001,319
0,9999999,0,04,04001,320
360,22000,1,04,04001,321
0,12000,0,04,04001,322
430,40000,1,04,04001,323
0,79000,0,04,04001,324
0,3900,0,04,04001,325
0,9999999,0,04,04001,326
0,9999999,0,04,04001,327
0,4100,1,04,04001,328
0,8400,1,04,04001,329
430,50000,0,04,04001,330
0,73000,0,04,04001,331
0,15800,1,04,04001,332
0,70000,0,04,04001,333
330,54000,0,04,04001,334
0,48600,0,04,04001,335
800,111020,0,04,04001,336
0,68000,0,04,04001,337
0,0,0,04,04001,338
0,51870,0,04,04001,339
0,121000,0,04,04001,340
0,9999999,0,04,04001,341
0,9999999,0,04,04001,342
0,25000,0,04,04001,343
0,44600,0,04,04001,344
0,9999999,0,04,04001,345
0,85000,0,04,04001,346
0,140000,0,04,04001,347
600,87000,0,04,04001,348
0,59800,0,04,04001,349
0,9999999,0,04,04001,350
0,9999999,0,04,04001,351
0,36000,0,04,04001,352
0,27400,0,04,04001,353
0,1000,1,04,04001,354
0,3600,0,04,04001,355
0,9999999,0,04,04001,356
0,27100,1,04,04001,357
0,9999999,0,04,04001,358
0,9999999,0,04,04001,359
0,120800,1,04,04001,360
0,32500,0,04,04001,361
0,71300,0,04,04001,362
0,62000,0,04,04001,363
0,9999999,0,04,04001,364
0,4700,0,04,04001,365
0,9999999,0,04,04001,366
0,9999999,0,04,04001,367
700,28000,0,04,04001,368
0,28200,1,04,04001,369
0,9999999,0,04,04001,370
0,216000,1,04,04001,371
0,150600,0,04,04001,372
0,9999999,0,04,04001,373
500,30000,1,04,04001,374
0,9999999,0,04,04001,375
0,119600,1,04,04001,376
0,9999999,0,04,04001,377
0,60000,0,04,04001,378
0,32600,0,04,04001,379
0,19300,0,04,04001,380
0,0,1,04,04001,381
0,26000,0,04,04001,382
0,96000,0,04,04001,383
0,9999999,0,04,04001,384
0,1200,1,04,04001,385
0,9999999,0,04,04001,386
0,9999999,0,04,04001,387
0,32800,1,04,04001,388
700,145800,0,04,04001,389
0,201000,0,04,04001,390
0,9999999,0,04,04001,391
0,9999999,0,04,04001,392
0,68200,1,04,04001,393
0,9999999,0,04,04001,394
0,9999999,0,04,04001,395
0,49760,1,04,04001,396
0,9999999,0,04,04001,397
0,19400,0,04,04001,398
0,9999999,0,04,04001,399
0,9999999,0,04,04001,400
0,62500,0,04,04001,401
0,9999999,0,04,04001,402
400,0,0,04,04001,403
0,51700,0,04,04001,404
0,10800,1,04,04001,405
0,16000,0,04,04001,406
100,28000,1,04,04001,407
0,18400,0,04,04001,408
4200,16800,0,04,04001,409
0,3600,0,04,04001,410
0,31000,0,04,04001,411
0,9999999,0,04,04001,412
0,9999999,0,04,04001,413
0,9999999,0,04,04001,414
0,9999999,0,04,04001,415
0,9999999,0,04,04001,416
0,9400,1,04,04001,417
0,0,1,04,04001,418
0,9999999,0,04,04001,419
0,9999999,0,04,04001,420
250,71500,1,04,04001,421
0,40100,0,04,04001,422
0,9999999,0,04,04001,423
