FIPS ,unemployment,median_hh_inc
04000,4.9,64652
04001,9.1,36319
04003,4.8,51171
04005,6.0,57146
04007,5.0,49280
04009,4.1,55419
04011,4.0,67530
04012,5.1,41637
04013,4.5,71799
04015,5.5,46678
04017,6.5,46698
04019,5.0,56551
04021,4.7,66992
04023,8.7,44402
04025,4.1,58860
04027,12.9,54278
