shopper_id,shopper_zip
dcf9542aade56c44c3d1b1e4434ed91a,01238
59863e3d0f7c5c94fad323d4510ef627,01247
84c1fbb3d9981f23b481f42f4efc255e,01420
c8cefc8f45927e3954fe7bc44e19cc94,01420
1fd91e16df806c31e34c56cf84d48408,01453
8cbae18896333f6a69846c688fef06fc,01453
11a14f665afcb49b01673ec4db31e6d0,01505
6cdb1b69b25f5e793b4764372e515dd8,01505
a0702b08fae7dc484e238546bb6c06f4,01535
c1b0e616b3a5bfd4e0ee5c1bcf8422d1,01550
28d0644aa1b878843f2bb3480890a0ea,01588
0706ca67997f9e5db6d8f1ddebbdcc7e,01603
1db7478bd378a7dc1d54c63a9e3f8025,01605
5b1acf8b9c9a05bb066a88c6b8104c82,01605
1dc90adb721785feb02ebccc20050f83,01610
a2bbfdd93628d77f7f18717e1e8b1921,01752
bb078a608de741cfd501cbd28502452b,01801
5a8bad43ae4ca637f75e897d63918fd8,01844
3d8641b327593093f6e815345dc953b1,01845
fc42108775eb5279fd6a527f7adeae0f,01863
b476007a55c36de276f50c8f571719a1,01867
e3cb89b0284ddc1298225de3cec06fd9,01867
1be6367336795415ba4a986488f1d6da,01905
5696e40b7a67aba6fb2f57efc2bfe4cb,01922
dbf4f14d6e419a228257139752510bc0,02035
1b66d0b8c61be4cfee253597e3ccbf7f,02050
fe3ff51f21231565eebfc35afe211848,02056
c11dbfb187a367a618efe1277c66cbb2,02128
bbd97c4b4583020c559af6f03d9c1669,02151
1b806799777db50646189d7b3c68a38c,02152
94dcf0123050783d938cf5a5272dfe29,02360
12f6e28bae8eaf69a7fe839d173c0f2e,02401
3084a7066608dc7323842672e786e42c,02492
3cf74cc00efb41f1ed57c9ae9f8a1f7b,02724
b4c8cbac454198c01c0f29f772df3363,02747
aa59c014efbc40f127aea48852dda7e0,02769
bb37d002c170a310d6037782d5d24a5b,02769
3d018c98ae84cfc6c194d7a23b4f16d4,02814
63349cbf962f3f1b31959b432e54f5a2,02864
bef8ccc91f229dfcf9f0d88f8729d4d3,02919
cc1e2fbc78a35f03d2e36e45b683409a,03054
cbfd167825486bbce8afa1a186cb9726,03079
07cfc094e89843533d0c88e329ebb07b,03087
444009d3e8c4d20f3a6e0e7c011ac917,03087
88418f776419a20f40db5a1ac1e66ed6,03102
4eb75358e08329a65c886f6e68554562,03104
9da53ee4c628d8c188758d178c166e3f,03104
4432c89e288228e9b52a638e33bc0593,03235
6c791c1820089d5c7760030f1c070b49,03246
fa6fcf4ea0ded70985de4e5813a14db1,03246
7a41e635faab8a87afd84facab652c4b,03303
9f186a77b7ab3a9de3a2353e3b7aab02,03431
4c7516da94a0934d33e3c080372adce1,03743
a045f2d536d5cdaa656723db1d9dd6bd,03743
ad317577b1230aa60521b2c8d3e0a165,03773
8a3b2647660ed1b6ed7a637160492f84,03801
4bb5e1e2591cd64013a9765e773ce0b4,03809
5ad3f984f5387b17bcf4fad7c4f19936,03841
6b1fd8bd4ac96cf5c25d7f6d60f4760e,03874
daf18751dc94f4950e9af26b532a4854,03874
ee7cc262130cfac48391ec6e78a8e0c5,04002
03634224ecf6d3d7b9b7788b5595aff5,04073
1ac5dc82ffec462b3f266a07294eab71,04073
9dd295732bf41c9d89d6f3a8a9fa9580,04093
382601c29e2b67ccaccdfce62d5298bd,04252
596772f36f0d202acfdb3d23c151c076,04253
3ca8577b330135e1169a0ff25f6a3579,04401
ff3fe1af54125da6c54a16c063cbe48f,04401
988a1acb9dab580a23cd41810c4f39e3,04444
7318604934badbcce37429b425275920,04473
96490161e1e6df0f09750741ea5aa7d1,04730
6f2b32dd928ad05628c20e92cfbf83da,04864
e82d54c55e6812b964a43f2d5f61c58d,04864
0defcce91d241d5b2aa8ee96f84cb3e3,04976
cb68e309c950402e2c51bf405632ddb3,05403
ca7c50715e137cab7972e15f4d98ae25,05488
52d5d1970edb5bda20615b2351a947b1,05602
6c9a9aad3b66c2146e81c8e4880f0ec0,05602
6b45d4676457a3ac4099c12753990fd2,05676
2a5349e0abc3be74f01c67b338579ad2,05679
2fd7b11500ad6373e2764731a3df805c,05679
5c9e7c3b68f733783f620834ea5fef74,05732
0abfde47188db799b3cf3a4ca5d4ca2b,06001
7e8bfb69aa6d87a3d69d646640ca8739,06001
8f93fce99726a3ea36e9971d5b7c0e8d,06001
c51b6dc865647652c44684e100d68b1a,06001
38558b31338c7bf2ac189d6a7ae95d32,06010
39a3390a873f0f33d7a0bc94f38daae8,06010
c34c42b87f9b474cd57d61cfbf0e45f2,06010
0d2291b8015716a86cf0d4168eb65a7c,06040
2720dfadd6666da6edeaca7df7e0fa4e,06040
4410fcfc82084efa15dcf291406ed8d4,06040
d3f4e4457984564dc4ad4bbef50957eb,06040
d8d81c3b579651918ae9ca090a7913ec,06042
57963e723e35b8bdc9a24870946421bf,06062
f01c5ddbab988d829ba720ec8f3658dd,06082
672346a6584af5a3cf35d8c6b436ab85,06084
f577b287a2db1c61d3859f2c49749118,06095
04fb127f921e56224193d01e259b8c9d,06096
f784fb3a5a87ef6b96e4d2d677ec3182,06106
964e18c5e67b7577b07581b4c7f8b6ec,06111
a4eed876ed35701a03f673534102e19c,06114
b60caf376ea7b4e4e2c08bc82b0f13c2,06117
08ce7648569a9f46abeb8f1534c65268,06241
ef130fe3c8e96b5a94a0e4f4ab825ca3,06256
afd2c61d3000b0200a031df262d63274,06354
122e96687c9af24ed681f2431c4aefe9,06360
8f63a508c13c86a51ffabb1c8d16d246,06360
dd3ffee14b3efc42611e8ac6cd5f4b73,06360
f731fd5c06201fcabce7395dfcdcb19b,06360
9c434765aa1c7e8c5a83a72b13f02737,06370
d25afd615b3443a5c9572b94bd5a0c37,06371
23e9695a0c968f815c21f3679ff5e704,06375
1a247d929d24b2a60a1336b9b7e7845a,06385
456cfa417a0483f9f55ac8012a44c31d,06385
71c0b2522d8d373d48e203b98316cf4a,06401
7d3abf610e0a4e7d383d5c7cca22caf7,06405
946fcd2d886a7a0337a75d20d5106edc,06438
b6517ecd3f483935ff853e572dfc138f,06443
cc1637784d0f506f080b345a5f8cbe76,06447
82db4d041109fdb226dc49a71f595ebc,06457
a7efa6c3860dd4921f55b1131d84ad40,06457
c3420a63e454b81e83c62f35fad60610,06457
e7b51c582fda95b207cc3dcaa526f7b4,06457
b33a467976023a1271fa80b583a52191,06460
c833442588cb4b6f19cb34136ef91c8d,06468
a8d12047917c0144171a2855c910f447,06484
9d201dfd5ed4407896930890ae417a18,06492
b72968383aeeba0c6f702e3ba11a05e7,06492
e985e3ff4c52a7ccce40a6ad1266a1d9,06604
37cf4251ceb60eb1ab75941498d92f1c,06702
67c485a7822b115c62e466bec1d9cad5,06705
12a4fbcd2830a83273b74b0dcc8052ae,06776
f1788873720cf347d975ad3d0d25c849,06786
8343493068f5127abf30a8a86439b03c,06790
8216109d6adeeaf0e15b5786b6570c09,06811
ba771265462078323aa9128fe860fe30,06811
c29ddf6e2652e9a319181bb1c6efca52,06880
3dd8d4ff548e7ae169dcb55b1fbd001a,06902
cb5c7262a80804800314eb6b5ea760db,06902
586a78305bc07e7b2395c393443e030c,06905
841b782ada51e05ae90aa2216550303c,06905
cc0951516136056d4464dff891a1aaec,07002
135d244e27bbbfe19f8772341d149a10,07093
362487e85e36d8db464245343c25eaa7,07458
58cac5613a7adcf54ce74806a4dcf3e9,07458
c16714011678b9da4949b5193b53947e,07458
7687db2feb9c9d758866382713b58a44,07462
f18bc0f647d5f146678db49451370e3c,07462
092c45faa1a39004f1829cdd2425559b,07631
142be3682e79b45a059052108151d52e,07631
88862eaf7a47e131f89ac8bf27ff8819,07631
7ac68b35775e430aab7fcbab36e8558d,07645
7cb1c3f1c4ce66daaebce5abb989c40b,07645
dd92ce83db7da46f88257370d6a543e6,07645
00d487a8e1d5a7494302bfe7074ab3b4,10451
4089b3dc4cbc152aa80b6e46d86d924a,10454
968e96c3a86941acfde7b59eeca733c0,10454
d7cd280f6865fde79f9be149cd398bb7,10458
26f8f8b2e88ca63985bd065b6e70489f,10541
1e68176317a85dec4a1369266e33f2a6,11003
