placekey,raw_visitor_counts,distance_from_home,median_dwell,cluster,location_name,top_category,sub_category,latitude,longitude,city,region,pred_sub_category
222-222@8ts-d2z-v75,4.969813299576001,8.67334187390617,1.9459101490553132,2,Circle K,Grocery Stores,Convenience Stores,33.37801,-112.08227,Phoenix,AZ,Convenience Stores
zzw-226@8ts-zfz-tvz,5.82600010738045,8.075271546297458,3.044522437723423,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.479172,-111.98408,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
223-222@8ts-3pr-q4v,4.48863636973214,8.116715624819111,1.9459101490553132,1,Circle K,Grocery Stores,Convenience Stores,32.199257,-110.87444,Tucson,AZ,Convenience Stores
222-223@5zb-vpy-975,6.173786103901937,8.736649954872451,2.9444389791664403,1,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.451538,-112.39452,Goodyear,AZ,Supermarkets and Other Grocery (except Convenience) Stores
223-223@8ts-78w-zpv,3.044522437723423,8.801017833540714,2.0794415416798357,2,ampm,Grocery Stores,Convenience Stores,32.133118,-111.02813,Tucson,AZ,Convenience Stores
226-222@5zb-wx6-4jv,2.833213344056216,9.605620455025981,2.803360380906535,3,Stanley's Homemade Sausage Company,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.639935,-112.01899,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
223-222@5z9-rhq-9cq,5.308267697401205,8.929435283803425,2.995732273553991,1,Sprouts Farmers Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,34.574383,-112.36401,Prescott Valley,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-222@5zb-xbg-zfz,3.6375861597263857,9.20623194393164,2.302585092994046,2,Sprouts Farmers Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.487003,-112.08443,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
223-224@8ts-zgs-4vz,5.568344503761097,9.467228129254554,1.9459101490553132,2,Corner Store,Grocery Stores,Convenience Stores,33.479919,-111.92577,Scottsdale,AZ,Convenience Stores
zzw-223@8ts-d6f-j35,5.605802066295998,8.488999457045455,2.1972245773362196,1,Circle K,Grocery Stores,Convenience Stores,33.450954,-112.25575,Tolleson,AZ,Convenience Stores
zzw-222@8ts-d6f-7yv,4.1588830833596715,10.169154050930228,4.356708826689592,3,Circle K Food,Grocery Stores,Convenience Stores,33.456451,-112.23927,Tolleson,AZ,Convenience Stores
226-222@8ts-zgc-qzz,5.488937726156687,8.261009786023827,2.4849066497880004,1,Bita Market Convenience Store,Grocery Stores,Convenience Stores,33.446243,-111.84023,Mesa,AZ,Convenience Stores
zzw-222@5zb-ww6-wx5,5.19295685089021,8.052933036797567,1.9459101490553132,1,Circle K,Grocery Stores,Convenience Stores,33.611843,-112.13428,Phoenix,AZ,Convenience Stores
222-222@8ts-zn4-3yv,6.040254711277414,8.098642843759418,1.8718021769015913,1,Circle K,Grocery Stores,Convenience Stores,33.407295,-111.63198,Mesa,AZ,Convenience Stores
222-222@8ts-zc9-v9f,5.3981627015177525,8.91085558740525,2.0794415416798357,2,Circle K,Grocery Stores,Convenience Stores,33.379692,-111.73901,Mesa,AZ,Convenience Stores
zzy-222@5zb-wwc-9fz,5.537334267018537,8.388677769180811,2.302585092994046,1,Cafe West,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.640041,-112.1338,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
225-222@5zb-xgn-zcq,4.276666119016055,8.59840444684106,2.8903717578961645,1,Hacienda Navarro Carnisseria,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.583073,-112.22112,Peoria,AZ,Supermarkets and Other Grocery (except Convenience) Stores
22z-222@8ts-zgr-brk,3.8501476017100584,10.085475720428844,3.597312260588446,3,Provisions local market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.490833,-111.93227,Scottsdale,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-222@5zb-xkv-4qf,4.727387818712341,8.215817791832453,3.332204510175204,1,Grocery Station,Grocery Stores,Convenience Stores,33.586475,-111.84719,Scottsdale,AZ,Convenience Stores
227-222@5zb-xmg-s5z,2.0794415416798357,10.46278900535916,4.375757021660286,3,Boars Head Provisioning,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.612789,-111.91101,Scottsdale,AZ,Supermarkets and Other Grocery (except Convenience) Stores
225-222@8ts-wg4-cdv,5.056245805348308,8.471568013389962,1.9459101490553132,1,Circle K,Grocery Stores,Convenience Stores,33.394974,-110.77477,Globe,AZ,Convenience Stores
224-222@5zb-xdv-h5z,5.993961427306569,9.103868127465667,2.0794415416798357,2,Phoenix Oil,Grocery Stores,Convenience Stores,33.480598,-112.04814,Phoenix,AZ,Convenience Stores
222-225@5zb-wtw-t9z,4.430816798843313,8.207674424355282,2.4849066497880004,1,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.714527,-112.14096,Glendale,AZ,Convenience Stores
223-222@5zb-wv5-9zz,4.127134385045092,9.735660441892627,1.791759469228055,2,4 Sons Food Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.698784,-112.13972,Glendale,AZ,Convenience Stores
222-224@8ts-3pb-d5f,4.418840607796598,8.367764677924308,3.0204248861443626,1,Albertsons,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.238785,-111.0039,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-222@8ts-zft-wx5,5.575949103146316,7.915348169263078,2.4849066497880004,1,Food City Arizona,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.466442,-111.98605,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
223-222@8ts-d7m-t35,2.302585092994046,9.231906149890744,3.970291913552122,3,Date Palms Oasis,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.377811,-112.19547,Laveen,AZ,Supermarkets and Other Grocery (except Convenience) Stores
226-222@8ts-3n7-kzz,5.209486152841421,8.324821298768782,2.302585092994046,1,Circle K,Grocery Stores,Convenience Stores,32.243851,-110.90092,Tucson,AZ,Convenience Stores
