placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,raw_visit_counts,raw_visitor_counts,distance_from_home,median_dwell,device_type,year,month
222-222@8sc-vmb-73q,Griffin Ranches,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,32.55629,-114.75895,9490 W County 19th St,Somerton,AZ,85350,4,2,,5,"{""android"":0,""ios"":0}",2021,9
zzw-222@8ts-zgr-fzz,Simply Scrumptious,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.490997,-111.91909,3719 N 75th St,Scottsdale,AZ,85251,217,148,20652,43,"{""android"":33,""ios"":115}",2021,9
222-222@8ts-79s-rkz,Circle K,Grocery Stores,Convenience Stores,445120,32.133366,-110.96223,530 E Valencia Rd,Tucson,AZ,85706,708,507,8032,8,"{""android"":295,""ios"":213}",2021,9
22h-222@8ts-zbs-4n5,99 Cents Only Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.363506,-111.79251,750 N Gilbert Rd,Gilbert,AZ,85234,1292,934,6499,18,"{""android"":528,""ios"":406}",2021,9
zzy-222@5z9-rhp-pd9,Circle K,Grocery Stores,Convenience Stores,445120,34.581135,-112.35683,6150 Hwy 69,Prescott Valley,AZ,86314,569,351,6927,6,"{""android"":193,""ios"":157}",2021,9
zzy-222@8tg-7xg-nt9,Malapai Meat Packing,Specialty Food Stores,Meat Markets,445210,34.475605,-110.1494,624 Freeman Hollow Rd,Taylor,AZ,85939,6,5,27729,8,"{""android"":0,""ios"":0}",2021,9
223-222@8tg-hvr-7qz,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,35.227253,-111.57861,5060 N US Highway 89,Flagstaff,AZ,86004,112,97,9893,17.5,"{""android"":56,""ios"":39}",2021,9
224-222@8ts-zgv-t9z,Perky's AZ,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.486736,-111.91028,3388 N Hayden Rd,Scottsdale,AZ,85251,34,20,8388,16,"{""android"":11,""ios"":12}",2021,9
zzw-224@8ts-zgp-tgk,99 Cents Only Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.478996,-111.91,7919 E Thomas Rd,Scottsdale,AZ,85251,172,146,4632,13,"{""android"":88,""ios"":60}",2021,9
223-22t@5zb-x59-5cq,Five Below,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.674301,-111.97446,21001 N Tatum Blvd,Phoenix,AZ,85050,8,8,5687,10,"{""android"":5,""ios"":0}",2021,9
222-222@8tg-hsw-qfz,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,35.25423,-111.55515,7925 N US Highway 89,Doney Park,AZ,86004,274,159,6210,10,"{""android"":97,""ios"":63}",2021,9
zzw-222@8ts-v7v-tvz,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.289368,-111.10162,580 W US Highway 60,Superior,AZ,85173,116,55,939,9,"{""android"":38,""ios"":17}",2021,9
222-222@8ts-d62-rrk,Walmart Supercenter,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.420052,-112.2231,7575 W Lower Buckeye Rd,Phoenix,AZ,85043,5125,2456,5019,23,"{""android"":1372,""ios"":1077}",2021,9
zzw-224@5zb-v7j-qzz,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.622711,-112.42463,15215 N Cotton Ln,Surprise,AZ,85388,367,329,3810,8,"{""android"":193,""ios"":133}",2021,9
zzw-222@8sc-xqt-kj9,Watsonville Produce,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,32.663559,-114.57123,3551 S Avenue 3 1/2 E,Yuma,AZ,85365,1,1,,22,"{""android"":0,""ios"":0}",2021,9
223-222@5z9-syj-k75,ampm,Grocery Stores,Convenience Stores,445120,34.864513,-111.7947,1990 W State Route 89A,Sedona,AZ,86336,84,58,188875,6,"{""android"":25,""ios"":31}",2021,9
222-222@5zb-xdf-5vf,Sprouts Produce Warehouse,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.515427,-112.17557,5445 W Missouri Ave,Glendale,AZ,85301,158,46,33369,112.5,"{""android"":31,""ios"":15}",2021,9
zzw-222@8ts-6y3-9zz,Heirloom Farmers Markets Green Valley Farmers & Artisans,Specialty Food Stores,Fruit and Vegetable Markets,445230,31.86788,-110.99266,101 S La Canada Dr,Green Valley,AZ,85614,36,26,20925,36,"{""android"":13,""ios"":10}",2021,9
225-222@8sc-r8m-b8v,Sam's Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,32.713432,-114.6453,2090 W 8th St,Yuma,AZ,85364,96,51,1649,23,"{""android"":31,""ios"":22}",2021,9
225-222@5zb-xbv-h3q,Express Food Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.530563,-112.16833,6445 N 51st Ave Ste 101,Glendale,AZ,85301,403,201,4892,22,"{""android"":129,""ios"":71}",2021,9
227-223@5zb-xb9-5cq,AJ's Fine Foods,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.510052,-112.07186,5017 N Central Ave,Phoenix,AZ,85012,114,78,9472,10,"{""android"":19,""ios"":60}",2021,9
222-22d@8ts-zhc-xyv,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.347813,-111.98188,4747 E Elliot Rd,Phoenix,AZ,85044,38,36,2740,12,"{""android"":26,""ios"":9}",2021,9
zzy-222@5z9-ngg-vs5,Route 66 Road Runner,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,35.32682,-112.87441,22330 W Old Hwy 66,Seligman,AZ,86337,62,46,346968,25,"{""android"":30,""ios"":13}",2021,9
222-224@5zb-xbp-zpv,ampm,Grocery Stores,Convenience Stores,445120,33.55328,-112.11843,2740 W Northern Ave,Phoenix,AZ,85051,49,45,7426,6,"{""android"":32,""ios"":15}",2021,9
225-222@8ts-zfw-zfz,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.466698,-112.00507,1630 N 36th St,Phoenix,AZ,85008,476,283,2453,15,"{""android"":170,""ios"":112}",2021,9
222-222@8tt-7xq-v9f,Giumarra Companies,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,31.439783,-110.96508,837 E Frontage Rd,Rio Rico,AZ,85648,57,12,8861,173,"{""android"":5,""ios"":8}",2021,9
zzy-225@8tr-zdr-4vz,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,32.4282,-111.30501,12355 N Trico Rd,Avra Valley,AZ,85653,377,181,4001,9,"{""android"":126,""ios"":58}",2021,9
223-225@8ts-2g8-x3q,IGA,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,32.762482,-111.6815,10601 W Battaglia Dr,Arizona City,AZ,85123,233,142,2356,6,"{""android"":93,""ios"":47}",2021,9
zzw-224@5zb-xfm-syv,Hudson Auction,Grocery Stores,Convenience Stores,445120,33.59325,-112.30016,12006 N 111th Ave,Youngtown,AZ,85363,5,5,14578,7,"{""android"":8,""ios"":0}",2021,9
222-223@8tt-pzq-8n5,Hunry's At Quickmart Store,Grocery Stores,Convenience Stores,445120,32.044174,-110.71399,13142 E Colossal Cave Rd,Vail,AZ,85641,387,309,11227,6,"{""android"":174,""ios"":133}",2021,9
222-223@5zb-wwq-835,Citadelle Plaza Farmer's Market,Specialty Food Stores,Fruit and Vegetable Markets,445230,33.66235,-112.18777,19420 N 59th Ave,Glendale,AZ,85308,2,2,,7.5,"{""android"":4,""ios"":6}",2021,9
